solar,wind,bio,hydro,fossil
90,87,84,30,24
37,94,74,4,6
9,48,64,1,5
43,81,30,30,35
82,63,71,68,45
96,63,5,7,52
35,56,33,11,58
74,53,8,55,15
57,38,36,96,8
22,33,35,26,4
46,70,84,68,18
27,45,16,91,54
94,66,35,46,38
26,30,2,68,31
1,100,89,21,37
43,100,95,52,75
53,12,74,48,80
83,72,69,78,52
38,32,27,80,90
13,74,64,81,97
20,9,71,59,36
49,13,55,55,66
74,95,50,45,21
10,69,69,28,35
71,54,79,68,75
99,38,42,70,33
40,87,95,66,6
32,91,49,85,47
86,38,7,63,28
87,13,25,18,90
66,10,79,31,3
92,51,22,71,67
1,28,36,7,2
23,4,16,4,16
96,83,31,41,30
19,91,49,36,58
13,84,65,40,20
11,72,17,55,36
65,56,90,13,18
25,83,50,100,3
75,46,81,25,94
60,84,36,89,31
54,90,6,93,68
21,14,1,24,78
28,54,10,7,72
89,40,57,40,91
76,93,82,47,83
18,56,97,13,58
88,21,12,91,81
66,31,58,78,45
19,79,94,20,81
59,50,83,71,10
73,97,80,86,73
21,96,63,57,93
1,68,70,18,18
98,97,33,7,21
84,10,71,24,58
84,11,80,23,83
17,17,14,19,47
15,52,66,74,59
21,24,55,35,69
56,28,50,52,43
56,38,33,55,9
12,57,5,64,53
100,15,39,15,69
51,10,54,23,43
35,94,70,6,13
55,36,26,66,81
17,44,60,52,32
13,32,98,94,1
24,23,7,92,41
28,50,78,91,11
81,52,76,9,14
29,28,99,71,39
56,64,15,21,64
40,100,51,3,45
98,12,57,28,75
70,70,93,72,78
14,36,7,5,11
47,59,78,45,67
80,29,37,27,93
25,91,27,69,58
50,31,21,67,46
7,60,86,30,86
34,52,83,95,56
50,11,68,42,65
86,94,69,35,98
23,39,1,31,61
97,39,66,37,46
94,9,99,85,36
61,30,11,71,35
74,64,12,51,62
3,17,92,2,3
40,42,82,67,55
7,27,89,1,84
28,11,27,15,67
86,100,8,59,20
30,12,53,12,41
78,13,67,41,78
79,65,58,33,85
94,66,69,29,6
82,6,24,46,24
88,89,56,89,23
6,5,15,49,23
30,22,40,55,66
44,14,80,100,16
4,41,69,23,66
24,74,49,57,72
91,33,79,38,62
29,82,8,23,35
73,57,24,98,2
54,34,30,98,37
32,48,27,4,99
45,27,79,64,4
3,8,87,67,48
1,95,27,33,85
43,72,31,83,56
96,24,83,52,66
59,81,15,6,13
99,23,82,87,35
14,57,97,20,90
45,15,35,37,80
74,94,70,96,87
88,12,32,70,58
54,31,85,100,88
11,17,67,2,71
67,9,48,25,36
66,88,53,100,21
48,55,27,96,21
97,79,15,83,37
82,64,48,40,12
71,53,83,62,34
4,72,17,9,3
21,99,72,82,97
2,17,88,94,100
94,39,1,55,69
38,78,94,9,10
87,8,87,46,100
40,63,17,84,36
95,51,78,47,14
20,33,19,95,8
30,23,55,32,77
97,82,69,68,19
94,29,38,99,64
80,97,31,99,46
99,88,70,60,23
71,26,6,59,61
42,53,45,82,44
21,86,23,97,2
87,59,52,95,89
79,58,99,75,70
84,52,3,56,23
63,22,93,51,26
18,61,27,3,8
4,91,63,80,48
88,9,93,60,47
18,63,51,91,67
58,43,54,96,83
50,56,92,74,21
54,78,21,16,57
51,82,16,19,78
91,9,76,59,99
2,51,7,63,35
25,31,62,59,76
27,9,78,57,81
60,4,86,7,95
99,31,2,94,30
72,13,87,6,25
11,56,95,37,86
91,40,23,43,70
32,48,16,65,19
87,12,43,24,81
20,85,71,72,48
80,99,6,98,95
5,19,43,50,54
89,10,58,17,23
1,27,14,7,67
63,12,15,59,73
51,8,93,100,2
60,38,11,8,57
26,4,97,42,84
79,80,98,6,51
18,52,82,28,57
99,37,19,55,62
31,28,41,54,78
67,61,80,6,22
42,37,25,30,94
20,82,11,7,90
27,18,81,11,45
18,59,19,24,67
72,4,31,77,25
23,39,60,86,66
54,71,79,96,88
8,51,2,43,27
32,36,60,53,87
11,72,8,31,17
31,99,55,8,59
50,50,74,39,75
44,76,54,91,35
82,16,69,20,31
32,59,63,68,7
47,78,99,21,81
91,55,44,19,100
95,36,41,23,82
12,59,27,8,78
19,45,51,43,6
89,42,100,81,20
60,40,22,59,16
19,71,9,49,88
91,68,1,43,44
87,51,17,18,17
74,11,17,1,54
45,8,72,54,98
29,97,22,31,88
19,72,53,96,70
23,99,48,90,42
47,89,69,58,61
20,97,29,59,91
55,80,91,40,13
17,97,84,97,14
51,82,19,31,16
16,87,96,3,8
65,39,4,42,78
6,50,36,87,31
56,24,43,46,50
35,83,75,18,71
44,4,42,32,15
22,80,85,37,88
15,77,26,27,3
55,63,33,21,52
22,32,91,63,2
94,15,4,22,74
64,51,3,37,9
72,86,17,69,88
2,60,1,38,50
87,21,50,29,90
11,55,4,98,67
86,74,13,51,10
7,61,92,89,75
16,41,6,48,54
93,21,57,14,50
91,41,72,36,65
84,62,53,85,89
66,20,17,40,18
86,97,68,98,61
49,49,49,86,57
51,25,85,59,48
87,23,82,49,22
8,19,69,88,6
28,83,41,65,98
89,13,6,50,33
12,48,52,77,33
28,34,93,69,67
27,13,85,5,92
84,51,41,83,87
88,95,26,1,55
70,75,89,79,44
57,85,39,17,70
81,86,19,93,27
76,6,99,50,15
52,1,81,44,18
72,71,3,10,67
10,90,45,2,5
86,69,42,47,55
95,81,53,84,13
62,56,5,96,31
36,22,62,74,2
20,81,1,72,1
37,4,21,90,85
71,22,39,49,50
34,92,10,34,69
54,91,20,38,39
51,92,92,37,56
97,11,80,17,1
71,27,70,39,50
9,64,12,72,64
82,91,38,34,1
67,69,68,3,6
90,66,76,40,26
87,73,1,94,47
26,42,1,63,27
32,14,3,4,91
25,24,27,48,71
53,89,82,28,46
43,41,49,87,52
87,65,49,26,47
73,58,82,1,61
36,49,2,76,99
44,98,88,1,96
58,89,78,26,48
10,20,10,98,71
6,60,1,40,86
4,48,34,68,99
53,74,72,53,83
13,33,24,55,86
40,81,73,29,48
94,33,95,28,55
90,91,87,73,21
17,99,74,34,71
37,65,36,88,31
98,84,24,99,81
32,95,4,68,99
98,99,93,17,95
45,32,76,76,46
5,76,56,4,34
67,72,69,15,21
71,76,63,95,28
46,2,31,34,59
54,84,90,1,90
39,51,68,45,18
82,66,100,16,1
63,4,27,58,37
79,79,92,73,75
9,13,63,6,97
82,24,98,85,63
75,21,98,33,92
46,98,35,66,20
3,97,89,42,47
36,25,58,76,85
87,4,39,12,85
1,96,45,61,69
48,23,88,67,7
36,27,98,77,48
80,53,1,16,14
67,44,2,72,61
9,78,82,31,74
8,82,92,29,12
11,45,51,70,59
95,1,100,31,49
54,8,69,83,87
4,52,32,99,68
30,8,78,91,70
29,64,81,74,17
57,31,46,67,54
64,89,23,86,1
36,37,71,33,54
61,87,54,43,60
6,11,51,31,47
63,99,44,10,62
96,25,8,24,92
35,83,36,19,37
20,80,11,11,95
99,32,3,46,91
87,71,27,62,8
71,20,78,8,4
79,67,7,84,26
91,55,36,90,48
1,87,20,88,81
4,50,91,33,64
98,79,9,70,19
87,84,26,99,47
46,88,95,43,59
88,91,95,41,5
65,7,73,94,11
30,51,63,12,65
7,54,46,20,83
58,69,26,2,29
67,8,25,75,49
95,60,49,11,84
94,11,68,66,2
52,56,50,7,95
13,54,78,85,69
93,81,86,95,73
47,88,7,36,66
75,14,43,73,64
62,21,4,36,61
21,88,64,89,95
100,88,32,27,60
14,63,55,41,81
66,3,23,46,9
56,85,98,46,2
59,98,14,21,87
41,94,80,96,38
65,41,6,36,59
30,33,21,6,41
31,69,20,83,13
14,10,37,90,46
26,61,56,1,18
90,96,88,21,33
13,64,95,37,22
95,2,63,5,47
50,42,18,89,87
93,28,84,13,97
43,69,2,66,33
94,93,63,9,74
20,53,42,30,35
46,75,64,31,65
24,3,53,28,12
13,93,96,73,78
35,62,37,48,76
100,15,4,88,45
67,44,50,61,32
96,58,90,8,100
80,100,77,50,34
71,16,12,99,63
63,7,66,76,52
48,50,57,49,28
1,56,80,3,57
17,4,20,93,21
37,67,62,80,34
43,13,86,8,73
23,3,73,68,6
39,65,19,31,39
96,45,94,31,69
37,92,59,49,16
23,29,26,95,41
4,37,9,31,8
36,45,65,76,93
39,5,49,27,60
69,88,92,9,63
63,29,98,45,50
19,94,8,34,35
5,19,8,96,10
25,99,86,22,52
57,43,52,46,21
60,31,41,20,20
5,38,69,54,65
4,18,95,16,71
51,90,28,81,94
37,59,75,21,92
78,20,29,92,90
88,16,30,7,65
24,68,62,55,23
73,55,31,38,20
38,82,57,94,48
42,77,32,55,43
1,16,59,90,32
64,10,90,96,22
60,45,12,70,34
41,19,11,71,24
65,95,53,57,40
81,98,81,63,87
55,61,34,83,55
66,53,40,42,25
100,39,14,71,75
41,97,18,28,5
88,52,83,73,83
73,41,55,56,85
29,99,41,20,99
69,90,75,59,89
30,74,2,67,30
66,1,84,15,21
27,72,22,80,98
47,50,11,35,80
24,46,46,77,3
15,15,21,90,76
60,90,58,17,95
82,8,71,6,18
15,40,91,73,75
8,57,5,78,91
86,6,89,80,62
98,11,74,28,69
4,83,95,32,55
91,12,10,49,69
68,54,93,99,72
8,36,72,55,4
83,41,7,96,20
85,88,14,13,28
81,19,100,88,35
88,20,78,55,61
41,83,47,53,11
76,22,95,19,39
64,36,71,9,15
52,5,35,92,33
60,12,76,15,55
77,72,90,17,81
49,31,77,97,40
13,20,35,48,84
19,36,67,75,60
81,65,54,51,49
80,7,93,55,36
13,46,92,15,58
83,36,72,71,34
15,39,74,30,31
72,14,9,88,58
71,35,26,100,40
29,60,40,61,24
62,37,16,46,100
39,89,18,31,95
92,95,81,77,68
98,5,34,69,86
77,100,64,8,72
96,96,63,42,62
88,38,62,47,52
20,47,70,5,7
81,72,43,17,28
66,66,37,85,83
6,41,6,49,9
82,7,5,88,70
90,51,45,10,25
30,79,93,81,36
66,24,25,76,45
83,91,93,40,40
31,86,52,23,4
72,56,74,98,70
48,22,68,67,19
54,55,40,13,43
72,32,58,61,23
37,46,86,64,5
79,41,72,14,34
29,95,55,60,3
94,86,81,24,51
93,22,67,36,77
5,38,72,24,63
29,89,64,25,77
58,62,27,32,31
62,71,15,14,36
34,38,26,61,80
18,81,68,33,3
67,17,96,78,36
62,93,34,85,57
64,72,86,65,2
92,60,42,93,94
98,36,34,12,56
17,100,59,72,14
55,1,92,51,86
36,92,80,97,50
47,23,55,33,18
27,65,97,74,37
57,80,25,30,9
40,70,98,71,80
61,43,45,14,70
61,94,14,32,46
58,2,85,36,30
63,18,12,56,52
74,92,96,49,13
29,40,69,68,20
92,24,96,82,8
13,16,25,33,48
98,86,73,9,72
31,59,76,51,46
62,32,78,30,48
65,73,75,3,22
82,69,59,86,100
